#x	y	new0_flux	flux_lukas_flux
1.98968	0.002494	354.67	354.408
1.98968	0.0025015	351.289	351.079
1.98968	0.002509	349.225	349.049
1.98968	0.0025165	348.5	348.34
1.98968	0.002524	349.137	348.976
1.98968	0.0025315	351.159	350.978
1.98968	0.002539	354.587	354.369
1.98968	0.0025465	359.445	359.172
1.98968	0.002554	365.754	365.407
2.0944	0.002464	365.46	364.805
2.0944	0.0024715	356.751	356.22
2.0944	0.002479	349.263	348.838
2.0944	0.0024865	343.016	342.679
2.0944	0.002494	338.035	337.768
2.0944	0.0025015	334.342	334.127
2.0944	0.002509	331.96	331.78
2.0944	0.0025165	330.913	330.749
2.0944	0.002524	331.222	331.056
2.0944	0.0025315	332.911	332.725
2.0944	0.002539	336.002	335.778
2.0944	0.0025465	340.517	340.237
2.0944	0.002554	346.477	346.123
2.19911	0.002464	347.49	346.832
2.19911	0.0024715	338.526	337.991
2.19911	0.002479	330.761	330.346
2.19911	0.0024865	324.192	323.92
2.19911	0.002494	318.899	318.693
2.19911	0.0025015	314.905	314.745
2.19911	0.002509	312.233	312.101
2.19911	0.0025165	310.909	310.784
2.19911	0.002524	310.953	310.819
2.19911	0.0025315	312.284	312.148
2.19911	0.002539	315.024	314.851
2.19911	0.0025465	319.17	318.965
2.19911	0.002554	324.727	324.456
2.30383	0.002464	327.124	326.558
2.30383	0.0024715	317.856	317.408
2.30383	0.002479	309.81	309.463
2.30383	0.0024865	303.011	302.745
2.30383	0.002494	297.37	297.157
2.30383	0.0025015	292.968	292.81
2.30383	0.002509	289.894	289.771
2.30383	0.0025165	288.17	288.064
2.30383	0.002524	287.819	287.711
2.30383	0.0025315	288.866	288.738
2.30383	0.002539	291.332	291.165
2.30383	0.0025465	295.24	295.017
2.30383	0.002554	300.614	300.316
2.40855	0.002464	305.062	304.463
