#x	y	12_	12a	12b
0.0230448	-2.82743	18.9824	18.8888	19.1389
0.0230448	-2.72271	14.2926	14.2067	14.4345
0.0230448	-2.61799	10.5277	10.451	10.6501
0.0230448	-2.51327	7.50085	7.44152	7.60026
0.0230448	-2.40855	5.18712	5.13716	5.27081
0.0230448	-2.30383	3.54269	3.50216	3.61041
0.0230448	-2.19911	2.44065	2.40917	2.49301
0.0230448	-2.0944	1.72301	1.70497	1.75328
0.0230448	-1.98968	1.30241	1.28992	1.32164
0.0230448	-1.88496	1.08401	1.07359	1.10168
0.0230448	-1.78024	0.977208	0.973383	0.983473
0.0230448	-1.67552	0.901393	0.900452	0.902885
0.0230448	-1.5708	0.861203	0.861125	0.861308
0.0230448	-1.46608	0.854618	0.853394	0.85669
0.0230448	-1.36136	0.90615	0.901905	0.913276
0.0230448	-1.25664	1.07062	1.06157	1.08571
0.0230448	-1.15192	1.38332	1.37015	1.4054
0.0230448	-1.0472	1.97305	1.95281	2.00741
0.0230448	-0.942478	2.99463	2.96405	3.03949
0.0230448	-0.837758	4.5684	4.53124	4.63146
0.0230448	-0.733038	6.85089	6.80355	6.93112
0.0230448	-0.628319	9.91515	9.86983	9.99362
0.0230448	-0.523599	13.8605	13.8034	13.9526
0.0230448	-0.418879	18.8642	18.7866	18.9709
0.0230448	-0.314159	24.7109	24.6603	24.7972
0.0230448	-0.20944	31.5445	31.4861	31.644
0.0230448	-0.10472	39.3533	39.297	39.4492
0.0230448	-2.66454e-15	48.1752	48.1132	48.2808
0.0230448	0.10472	58.0285	57.9617	58.1421
0.0230448	0.20944	68.5197	68.46	68.6213
0.0230448	0.314159	79.7244	79.6632	79.8284
0.0230448	0.418879	91.5023	91.4412	91.6061
0.0230448	0.523599	103.628	103.568	103.729
0.0230448	0.628319	115.572	115.525	115.653
0.0230448	0.733038	127.164	127.117	127.238
0.0230448	0.837758	138.205	138.158	138.284
0.0230448	0.942478	148.389	148.349	148.455
0.0230448	1.0472	157.411	157.379	157.464
0.0230448	1.15192	164.984	164.96	165.024
0.0230448	1.25664	170.858	170.841	170.885
0.0230448	1.36136	174.741	174.732	174.757
0.0230448	1.46608	176.534	176.529	176.541
0.0230448	1.5708	176.299	176.298	176.301
0.0230448	1.67552	173.989	173.987	173.991
0.0230448	1.78024	169.711	169.709	169.713
0.0230448	1.88496	163.519	163.51	163.532
0.0230448	1.98968	155.599	155.587	155.617
0.0230448	2.0944	146.324	146.307	146.352
0.0230448	2.19911	135.988	135.962	136.03
0.0230448	2.30383	124.896	124.861	124.956
0.0230448	2.40855	113.316	113.271	113.391
0.0230448	2.51327	101.552	101.497	101.645
0.0230448	2.61799	89.836	89.7664	89.953
0.0230448	2.72271	78.2046	78.1263	78.3341
0.0230448	2.82743	67.1382	67.052	67.2822
0.0230448	2.93215	56.8333	56.7404	56.9892
0.0230448	3.03687	47.4128	47.3152	47.5774
0.0230448	3.14159	38.8129	38.7125	38.9802
0.0236982	-3.14159	39.0748	38.9587	39.2716
0.0236982	-3.03687	31.7961	31.6794	31.9941
